inputNum,beerNum,RecipeName,MashStep,HeatSource,TargetTemp,Time
77668,201304,Angry Kolsch,Saccharification Rest,Infusion,"
154.0
°F
",75 min
77669,201305,Maple Pecan Brown,Saccharification Rest,Direct Heat,"
154.0
°F
",60 min
77670,201305,Maple Pecan Brown,Mash-Out,Infusion,"
170.0
°F
",20 min
77671,201308,YASBier,Saccharification Rest,Decoction,"
68.0
°C
",60 min
77672,201309,ShuBerry Shortcake,Saccharification Rest,Infusion,"
154.0
°F
",45 min
77673,201309,ShuBerry Shortcake,Mash-Out,Direct Heat,"
165.0
°F
",5 min
77674,201310,Awesome Stout,Acid Rest,Decoction,"
68.0
°C
",60 min
77675,201310,Awesome Stout,Mash-Out,Decoction,"
78.0
°C
",10 min
77676,201312,Hammer of The Gods,Saccharification Rest,Infusion,"
155.0
°F
",75 min
77677,201312,Hammer of The Gods,Mash-Out,Infusion,"
212.0
°F
",10 min
77678,201313,Arterial Ale,Saccharification Rest,Infusion,"
154.0
°F
",60 min
77679,201313,Arterial Ale,Mash-Out,Infusion,"
212.0
°F
",10 min
77680,201314,American IPA,Saccharification Rest,Infusion,"
150.0
°F
",60 min
77681,201314,American IPA,Mash-Out,Infusion,"
169.0
°F
",10 min
77682,201315,American IPA,Saccharification Rest,Infusion,"
150.0
°F
",60 min
77683,201315,American IPA,Mash-Out,Infusion,"
169.0
°F
",10 min
77684,201316,American IPA,Saccharification Rest,Infusion,"
150.0
°F
",60 min
77685,201316,American IPA,Mash-Out,Infusion,"
169.0
°F
",10 min
77686,201322,1635 Clone,Maltose Rest,Infusion,"
160.0
°F
",60 min
77687,201322,1635 Clone,Mash-Out,Infusion,"
168.0
°F
",10 min
77688,201327,Chinchilla Dirtnap (Wookey Jack clone),Saccharification Rest,Infusion,"
148.0
°F
",60 min
77689,201327,Chinchilla Dirtnap (Wookey Jack clone),Saccharification Rest,Infusion,"
155.0
°F
",10 min
77690,201329,Synesthesia Saison,Saccharification Rest,Direct Heat,"
148.0
°F
",75 min
77691,201331,Old Fogy Flander's Red,Saccharification Rest,Infusion,"
154.0
°F
",60 min
77692,201336,Bole Brothers Porter,Protein Rest,Infusion,"
55.0
°C
",15 min
77693,201336,Bole Brothers Porter,Saccharification Rest,Infusion,"
66.0
°C
",75 min
77694,201336,Bole Brothers Porter,Mash-Out,Infusion,"
77.0
°C
",5 min
77695,201339,PIJAO SAMUEL,Protein Rest,Direct Heat,"
40.0
°C
",30 min
77696,201339,PIJAO SAMUEL,Saccharification Rest,Direct Heat,"
60.0
°C
",60 min
77697,201339,PIJAO SAMUEL,Mash-Out,Direct Heat,"
70.0
°C
",20 min
77698,201340,Saison Petite,Saccharification Rest,Infusion,"
148.0
°C
",60 min
77699,201361,Bourbon Barrel Aged Russian Imperial Stout,Saccharification Rest,Decoction,"
154.0
°F
",60 min
77700,201364,West Coast Pale Ale #11,Saccharification Rest,Decoction,"
153.0
°F
",90 min
77701,201364,West Coast Pale Ale #11,Mash-Out,Direct Heat,"
168.0
°F
",10 min
77702,201366,Willy the Windy Otter,Saccharification Rest,Direct Heat,"
152.0
°F
",60 min
77703,201370,Tuckamore Hefeweizen,Saccharification Rest,Direct Heat,"
150.0
°F
",60 min
77704,201370,Tuckamore Hefeweizen,Mash-Out,Direct Heat,"
170.0
°F
",5 min
77705,201373,Tuckamore Dunkelbrau,Saccharification Rest,Direct Heat,"
150.0
°F
",60 min
77706,201373,Tuckamore Dunkelbrau,Mash-Out,Decoction,"
170.0
°F
",5 min
77707,201377,Honey Cream Ale,Saccharification Rest,Infusion,"
149.0
°F
",60 min
77708,201377,Honey Cream Ale,Mash-Out,Infusion,"
169.0
°F
",10 min
